country,season_start,team_a,team_b,is_rival
Italy,2019,ac milan,inter,TRUE
Italy,2019,lazio,roma,TRUE
Italy,2019,atalanta,lazio,TRUE
Italy,2019,ac milan,lazio,TRUE
France,2020,angers sco,r. strasbourg,TRUE
France,2020,angers sco,fc nantes,TRUE
France,2020,angers sco,g. bordeaux,TRUE
France,2020,fc nantes,r. strasbourg,TRUE
Italy,2020,benevento,spezia calcio,TRUE
Italy,2020,benevento,crotone,TRUE
Italy,2020,crotone,spezia calcio,TRUE
France,2017,fc nantes,stade rennais,TRUE
Spain,2021,ca osasuna,granada cf,TRUE
Germany,2017,1.fc köln,hamburg,TRUE
France,2019,angers sco,r. strasbourg,TRUE
France,2019,amiens sc,angers sco,TRUE
France,2019,angers sco,fc nantes,TRUE
France,2019,angers sco,toulouse,TRUE
France,2019,lille,r. strasbourg,TRUE
France,2019,fc nantes,r. strasbourg,TRUE
France,2019,r. strasbourg,toulouse,TRUE
Germany,2019,augsburg,hertha bsc,TRUE
Germany,2019,augsburg,mainz,TRUE
Germany,2019,augsburg,freiburg,TRUE
Germany,2019,augsburg,werder bremen,TRUE
Germany,2019,hertha bsc,mainz,TRUE
Germany,2019,hertha bsc,werder bremen,TRUE
Germany,2019,freiburg,hertha bsc,TRUE
Germany,2019,frankfurt,hertha bsc,TRUE
England,2020,brighton,southampton,TRUE
England,2020,brighton,west ham,TRUE
Spain,2020,celta de vigo,levante,TRUE
Spain,2020,athletic club,levante,TRUE
Spain,2020,getafe,levante,TRUE
Spain,2019,athletic club,real sociedad,TRUE
Spain,2019,athletic club,cd leganés,TRUE
Spain,2019,athletic club,celta de vigo,TRUE
Spain,2019,celta de vigo,real sociedad,TRUE
Spain,2019,cd leganés,real sociedad,TRUE
Spain,2019,real betis,real sociedad,TRUE
Spain,2019,cd leganés,celta de vigo,TRUE
Spain,2019,celta de vigo,real betis,TRUE
England,2018,cardiff,fulham,TRUE
England,2018,cardiff,wolves,TRUE
England,2018,fulham,wolves,TRUE
England,2022,brighton,newcastle,TRUE
England,2022,brighton,crystal palace,TRUE
England,2022,brighton,southampton,TRUE
England,2022,brighton,west ham,TRUE
England,2022,crystal palace,newcastle,TRUE
England,2022,newcastle,west ham,TRUE
England,2022,newcastle,southampton,TRUE
England,2022,everton,newcastle,TRUE
Germany,2018,freiburg,mainz,TRUE
Germany,2018,freiburg,hannover 96,TRUE
Germany,2018,hannover 96,mainz,TRUE
Germany,2018,mainz,werder bremen,TRUE
Italy,2017,atalanta,roma,TRUE
Italy,2021,salernitana,venezia,TRUE
Italy,2021,fc empoli,salernitana,TRUE
Italy,2021,fc empoli,venezia,TRUE
England,2018,arsenal,chelsea,TRUE
England,2018,arsenal,tottenham,TRUE
England,2018,arsenal,man utd,TRUE
England,2018,arsenal,liverpool,TRUE
England,2018,chelsea,tottenham,TRUE
England,2018,chelsea,man utd,TRUE
England,2018,chelsea,liverpool,TRUE
France,2018,dijon,g. bordeaux,TRUE
France,2019,g. bordeaux,saint-étienne,TRUE
France,2019,saint-étienne,stade rennais,TRUE
Germany,2021,augsburg,hertha bsc,TRUE
Germany,2021,augsburg,mainz,TRUE
Germany,2021,augsburg,freiburg,TRUE
Germany,2021,hertha bsc,mainz,TRUE
Germany,2021,freiburg,hertha bsc,TRUE
Germany,2021,frankfurt,hertha bsc,TRUE
Germany,2021,hertha bsc,hoffenheim,TRUE
Spain,2019,espanyol,getafe,TRUE
England,2018,liverpool,tottenham,TRUE
England,2018,liverpool,man utd,TRUE
England,2018,liverpool,man city,TRUE
England,2018,man utd,tottenham,TRUE
England,2018,man city,tottenham,TRUE
Germany,2022,augsburg,hertha bsc,TRUE
Germany,2022,augsburg,mainz,TRUE
Germany,2022,augsburg,freiburg,TRUE
Germany,2022,hertha bsc,mainz,TRUE
Germany,2022,hertha bsc,hoffenheim,TRUE
Germany,2022,freiburg,hertha bsc,TRUE
Germany,2020,augsburg,hertha bsc,TRUE
Germany,2020,augsburg,mainz,TRUE
Germany,2020,augsburg,freiburg,TRUE
Germany,2020,augsburg,werder bremen,TRUE
Germany,2020,hertha bsc,mainz,TRUE
Germany,2020,hertha bsc,werder bremen,TRUE
Germany,2020,freiburg,hertha bsc,TRUE
Germany,2020,frankfurt,hertha bsc,TRUE
England,2019,arsenal,chelsea,TRUE
England,2019,arsenal,tottenham,TRUE
England,2019,arsenal,man utd,TRUE
England,2019,chelsea,tottenham,TRUE
England,2019,chelsea,man utd,TRUE
England,2019,chelsea,liverpool,TRUE
England,2024,bournemouth,nott'm forest,TRUE
England,2022,crystal palace,everton,TRUE
England,2022,crystal palace,southampton,TRUE
England,2022,crystal palace,west ham,TRUE
Germany,2020,leipzig,leverkusen,TRUE
Germany,2020,dortmund,leipzig,TRUE
Germany,2020,hoffenheim,leipzig,TRUE
Germany,2020,frankfurt,leipzig,TRUE
Germany,2020,leipzig,mönchengladbach,TRUE
Germany,2020,hoffenheim,leverkusen,TRUE
