country,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,buyer_clean,seller_clean,rivalry_proximity,pos_clean,seller_norm,buyer_norm
England,2018,England,aston villa,chelsea fc,Chelsea FC,Premier League,Arrivals,Tammy Abraham,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726,Centre-Forward,21,England,Aston Villa,Championship,,TRUE,End of loan 31/05/2019,Summer,1,1,0,21,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018,chelsea,aston villa,,centre-forward,aston villa,chelsea
England,2018,England,aston villa,manchester united,Manchester United,Premier League,Arrivals,Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Centre-Back,21,DR Congo,Aston Villa,Championship,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018,man utd,aston villa,,centre-back,aston villa,man utd
England,2018,Spain,athletic club,chelsea fc,Chelsea FC,Premier League,Arrivals,Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Goalkeeper,23,Spain,Athletic Club,LaLiga,8e+07,FALSE,"",Summer,58,54,0,4920,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018,chelsea,athletic club,,goalkeeper,athletic club,chelsea
England,2018,Spain,atlético,fulham fc,Fulham FC,Premier League,Arrivals,Luciano Vietto,https://www.transfermarkt.com/luciano-vietto/profil/spieler/214316,Centre-Forward,24,Argentina,Atlético,LaLiga,0,TRUE,loan transfer,Summer,32,22,1,1165,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,fulham,atlético,,centre-forward,atltico,fulham
England,2018,Spain,atlético,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,Left Winger,21,Portugal,Atlético,LaLiga,1.4e+07,FALSE,"",Summer,37,37,10,2630,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,atlético,,left winger,atltico,wolves
England,2018,Spain,atlético,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Jonny Otto,https://www.transfermarkt.com/jonny-otto/profil/spieler/175446,Right-Back,24,Spain,Atlético,LaLiga,0,TRUE,loan transfer,Summer,42,39,1,3304,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,atlético,,right-back,atltico,wolves
England,2018,Netherlands,az alkmaar,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Alireza Jahanbakhsh,https://www.transfermarkt.com/alireza-jahanbakhsh/profil/spieler/213268,Right Winger,24,Iran,AZ Alkmaar,Eredivisie,22500000,FALSE,"",Summer,29,24,0,1440,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,az alkmaar,,right winger,az alkmaar,brighton
England,2018,Spain,barcelona,everton fc,Everton FC,Premier League,Arrivals,Yerry Mina,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,Centre-Back,23,Colombia,Barcelona,LaLiga,30250000,FALSE,"",Summer,21,15,1,1027,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018,everton,barcelona,,centre-back,barcelona,everton
England,2018,Spain,barcelona,everton fc,Everton FC,Premier League,Arrivals,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,Left-Back,25,France,Barcelona,LaLiga,20200000,FALSE,"",Summer,39,37,4,3146,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018,everton,barcelona,,left-back,barcelona,everton
England,2018,Spain,barcelona,everton fc,Everton FC,Premier League,Arrivals,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,Central Midfield,25,Portugal,Barcelona,LaLiga,0,TRUE,"",Summer,29,29,1,2121,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018,everton,barcelona,,central midfield,barcelona,everton
England,2018,Portugal,belenenses,chelsea fc,Chelsea FC,Premier League,Arrivals,Nathan,https://www.transfermarkt.com/nathan/profil/spieler/294798,Attacking Midfield,22,Brazil,Belenenses,Liga Portugal,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018,chelsea,belenenses,,attacking midfield,belenenses,chelsea
England,2018,Italy,benevento,newcastle united,Newcastle United,Premier League,Arrivals,Achraf Lazaar,https://www.transfermarkt.com/achraf-lazaar/profil/spieler/139173,Left Midfield,26,Morocco,Benevento,Serie A,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,2018,newcastle,benevento,,left midfield,benevento,newcastle
England,2018,Portugal,benfica,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Raúl Jiménez,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040,Centre-Forward,27,Mexico,Benfica,Liga Portugal,0,TRUE,"",Summer,44,44,17,3550,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,benfica,,centre-forward,benfica,wolves
England,2018,Türkiye,besiktas,fulham fc,Fulham FC,Premier League,Arrivals,Fabri,https://www.transfermarkt.com/fabri/profil/spieler/45882,Goalkeeper,30,Spain,Besiktas,Süper Lig,6e+06,FALSE,"",Summer,23,2,0,180,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,fulham,besiktas,,goalkeeper,besiktas,fulham
England,2018,England,birmingham,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Connor Mahoney,https://www.transfermarkt.com/connor-mahoney/profil/spieler/287528,Right Winger,22,England,Birmingham,Championship,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,birmingham,,right winger,birmingham,bournemouth
England,2018,Wales,cardiff,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Harry Arter,https://www.transfermarkt.com/harry-arter/profil/spieler/55742,Central Midfield,29,Ireland,Cardiff,Premier League,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,cardiff,,central midfield,cardiff,bournemouth
England,2018,Spain,cd leganés,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Diego Rico,https://www.transfermarkt.com/diego-rico/profil/spieler/249513,Left-Back,25,Spain,CD Leganés,LaLiga,1.5e+07,FALSE,"",Summer,31,16,0,956,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,cd leganés,,left-back,cd legans,bournemouth
England,2018,Scotland,hibernian fc,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Emerson Hyndman,https://www.transfermarkt.com/emerson-hyndman/profil/spieler/223047,Central Midfield,22,United States,Hibernian FC,Premiership,0,TRUE,loan transfer,Summer,4,1,0,37,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,hibernian fc,,central midfield,hibernian fc,bournemouth
England,2018,England,hull city,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Marc Pugh,https://www.transfermarkt.com/marc-pugh/profil/spieler/36939,Left Winger,32,England,Hull City,Championship,,TRUE,End of loan 31/05/2019,Summer,7,3,1,201,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,hull city,,left winger,hull city,bournemouth
