country,season,seller_clean,buyer_clean,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,pos_clean,is_rival
England,2018,mainz,newcastle,newcastle united,Newcastle United,Premier League,Arrivals,Yoshinori Muto,https://www.transfermarkt.com/yoshinori-muto/profil/spieler/230541,Centre-Forward,26,Japan,Mainz,Bundesliga,Germany,10700000,FALSE,"",Summer,28,18,1,594,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,2018,centre-forward,FALSE
England,2018,man city,burnley,burnley fc,Burnley FC,Premier League,Arrivals,Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Goalkeeper,31,England,Man City,Premier League,England,3900000,FALSE,"",Summer,44,21,0,1920,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,2018,goalkeeper,FALSE
England,2018,marseille,fulham,fulham fc,Fulham FC,Premier League,Arrivals,Frank Anguissa,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361,Central Midfield,22,Cameroon,Marseille,Ligue 1,France,24850000,FALSE,"",Summer,29,25,0,1789,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,central midfield,FALSE
England,2018,monaco,Wolves,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,João Moutinho,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364,Central Midfield,31,Portugal,Monaco,Ligue 1,Monaco,5600000,FALSE,"",Summer,44,44,1,3444,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,central midfield,FALSE
England,2018,monaco,Wolves,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Rúben Vinagre,https://www.transfermarkt.com/ruben-vinagre/profil/spieler/357158,Left-Back,19,Portugal,Monaco,Ligue 1,Monaco,2250000,FALSE,"",Summer,43,21,0,991,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,left-back,FALSE
England,2018,monaco,liverpool,liverpool fc,Liverpool FC,Premier League,Arrivals,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Defensive Midfield,24,Brazil,Monaco,Ligue 1,Monaco,4.5e+07,FALSE,"",Summer,49,41,1,2917,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018,defensive midfield,FALSE
England,2018,napoli,chelsea,chelsea fc,Chelsea FC,Premier League,Arrivals,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017,Defensive Midfield,26,Italy,Napoli,Serie A,Italy,5.7e+07,FALSE,"",Summer,59,54,2,4391,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018,defensive midfield,FALSE
England,2018,newcastle,fulham,fulham fc,Fulham FC,Premier League,Arrivals,Aleksandar Mitrović,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152,Centre-Forward,23,Serbia,Newcastle,Premier League,England,24700000,FALSE,"",Summer,41,39,11,3378,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,centre-forward,FALSE
England,2018,nice,fulham,fulham fc,Fulham FC,Premier League,Arrivals,Jean Michaël Seri,https://www.transfermarkt.com/jean-michael-seri/profil/spieler/178614,Defensive Midfield,26,Cote d'Ivoire,Nice,Ligue 1,France,3e+07,FALSE,"",Summer,36,34,1,2430,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,defensive midfield,FALSE
England,2018,nice,fulham,fulham fc,Fulham FC,Premier League,Arrivals,Maxime Le Marchand,https://www.transfermarkt.com/maxime-le-marchand/profil/spieler/60558,Centre-Back,28,France,Nice,Ligue 1,France,4e+06,FALSE,"",Summer,37,29,0,2453,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,centre-back,FALSE
