country,buyer_clean,total_transfers,rival_transfers,global_weighted_rival,avg_global_weight,global_pref_index
Germany,leipzig,21,3,8.48694014824522,1.26128286420215,0.404140007059296
Spain,sevilla fc,28,4,11.1660028124742,1.25592867187408,0.398785814731221
England,brentford,9,1,3.55534806148941,1.28392756238771,0.395038673498824
England,west ham,24,3,9.22680409800685,1.25945017075029,0.384450170750285
Italy,juventus,20,3,7.62657020629066,1.23132851031453,0.381328510314533
Italy,como,9,1,3.2188758248682,1.24654175831869,0.3576528694298
Spain,real sociedad,15,2,5.14166355650266,1.20944423710018,0.342777570433511
Italy,genoa,19,2,6.25766758788264,1.2240877677833,0.329350925678034
Italy,cagliari,10,1,3.2188758248682,1.22188758248682,0.32188758248682
England,leeds,15,2,4.47733681447821,1.16515578763188,0.298489120965214
England,bournemouth,10,1,2.89037175789616,1.18903717578962,0.289037175789616
Spain,barcelona,24,3,6.39692965521615,1.14153873563401,0.266538735634006
Germany,wolfsburg,14,1,3.40119738166216,1.17151409869015,0.242942670118725
Germany,bayern munich,21,2,5.03695260241363,1.14461679059113,0.239854885829221
Germany,werder bremen,13,1,2.70805020110221,1.13138847700786,0.208311553930939
England,everton,21,2,4.27666611901606,1.1084126723341,0.203650767572193
England,tottenham,20,1,3.2188758248682,1.11094379124341,0.16094379124341
England,Brighton,16,0,0,1,0
England,Wolves,21,0,0,1,0
England,liverpool,14,0,0,1,0
England,man city,13,0,0,1,0
France,Lille,18,0,0,1,0
France,Lyon,24,0,0,1,0
France,Marseille,21,0,0,1,0
France,Monaco,26,0,0,1,0
France,Nice,24,0,0,1,0
France,PSG,31,0,0,1,0
France,Lens,13,0,0,1,0
France,aj auxerre,6,0,0,1,0
France,le havre ac,1,0,0,1,0
Germany,Frankfurt,22,0,0,1,0
Germany,Hoffenheim,12,0,0,1,0
Germany,Leverkusen,15,0,0,1,0
Germany,Mainz,17,0,0,1,0
Germany,Mönchengladbach,13,0,0,1,0
Germany,st. pauli,2,0,0,1,0
Italy,Parma,14,0,0,1,0
Italy,cremonese,8,0,0,1,0
Spain,Alavés,16,0,0,1,0
Spain,real madrid,15,0,0,1,0
