country,league,season,team_a,team_b,pos_diff,elo_diff,is_rival
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Wolves,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Liverpool,Man City,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Liverpool,Man Utd,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Man City,Man Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Newcastle,Southampton,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Norwich,Watford,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Sheff Utd,Southampton,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Sheff Utd,Wolves,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Tottenham,Wolves,1,999,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Burnley,999,76.8211669899999,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Chelsea,999,19.0389404300001,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Everton,999,83.5843505799999,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Leicester,999,41.5388183599998,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Man Utd,999,61.2054443400002,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Southampton,999,79.31274414,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Tottenham,999,8.1887207000002,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Arsenal,Wolves,999,21.0759277299999,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Aston Villa,Brighton,999,35.3770751999998,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Aston Villa,Crystal Palace,999,55.43481445,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Aston Villa,Everton,999,97.6855468799999,TRUE
England,Games of Matchday 38 Premier League 20/21,2019,Aston Villa,Fulham,999,26.7077636700001,TRUE
