country,league,season,team_a,team_b,pos_diff,team_a_low,team_b_low,country_low,league_low
England,Games of Matchday 38 Premier League 19/20,2019,Everton,Southampton,1,everton,southampton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Man Utd,2,leicester,man utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Tottenham,1,leicester,tottenham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Wolves,2,leicester,wolves,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Liverpool,Man City,1,liverpool,man city,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Liverpool,Man Utd,2,liverpool,man utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Man City,Man Utd,1,man city,man utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Newcastle,Southampton,2,newcastle,southampton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Norwich,Watford,1,norwich,watford,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Sheff Utd,Southampton,2,sheff utd,southampton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Sheff Utd,Wolves,2,sheff utd,wolves,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Tottenham,Wolves,1,tottenham,wolves,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 20/21,2020,Arsenal,Everton,2,arsenal,everton,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Arsenal,Leeds,1,arsenal,leeds,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Arsenal,Tottenham,1,arsenal,tottenham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Arsenal,West Ham,2,arsenal,west ham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Aston Villa,Everton,1,aston villa,everton,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Aston Villa,Leeds,2,aston villa,leeds,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Aston Villa,Newcastle,1,aston villa,newcastle,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Aston Villa,Wolves,2,aston villa,wolves,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Brighton,Burnley,1,brighton,burnley,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Brighton,Crystal Palace,2,brighton,crystal palace,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Brighton,Fulham,2,brighton,fulham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Brighton,Southampton,1,brighton,southampton,england,games of matchday 38 premier league 20/21
